y_test,y_pred,change,chg_rate
1260.0,1225.1357,34.8642578125,2.84574652521763
56700.0,56341.273,358.7265625,0.6367029721078976
1009.0,1055.672,-46.6719970703125,-4.421069915640088
1325.0,1290.0098,34.990234375,2.7124007358229183
10550.0,10867.2,-317.2001953125,-2.918876892038138
66200.0,66129.4,70.6015625,0.10676274723219616
8220.0,8281.778,-61.7783203125,-0.7459547686875165
7100.0,7174.08,-74.080078125,-1.0326073492109862
16210.0,15959.681,250.3193359375,1.568448274163537
4845.0,4972.3022,-127.30224609375,-2.560227431744699
13850.0,13888.063,-38.0634765625,-0.2740733193417206
1798.0,1797.1542,0.8458251953125,0.047064698575703626
23750.0,23772.436,-22.435546875,-0.09437630751279609
4067.0,4084.7827,-17.78271484375,-0.4353405330258851
19100.0,19344.36,-244.359375,-1.2632073787659355
