,Theme,Name,Code
232,가상현실(VR),데브시스터즈,194480
234,가상현실(VR),에스피지,58610
235,가상현실(VR),아프리카TV,67160
236,가상현실(VR),스코넥,276040
239,가상현실(VR),하이비젼시스템,126700
240,가상현실(VR),동운아나텍,94170
241,가상현실(VR),시공테크,20710
242,가상현실(VR),나무가,190510
245,가상현실(VR),에스코넥,96630
246,가상현실(VR),토탈소프트,45340
249,가상현실(VR),제이씨현시스템,33320
251,가상현실(VR),큐에스아이,66310
254,가상현실(VR),와이제이엠게임즈,193250
255,가상현실(VR),칩스앤미디어,94360
257,가상현실(VR),하이소닉,106080
258,가상현실(VR),한빛소프트,47080
260,메타버스(Metaverse),EDGC,245620
263,메타버스(Metaverse),주연테크,44380
267,메타버스(Metaverse),LG이노텍,11070
270,메타버스(Metaverse),대성창투,27830
272,메타버스(Metaverse),웨이버스,336060
273,메타버스(Metaverse),뉴프렉스,85670
275,메타버스(Metaverse),아진엑스텍,59120
276,메타버스(Metaverse),이노뎁,303530
277,메타버스(Metaverse),선익시스템,171090
279,메타버스(Metaverse),컴투스,78340
280,메타버스(Metaverse),핑거,163730
283,메타버스(Metaverse),옵티시스,109080
284,메타버스(Metaverse),미투온,201490
288,메타버스(Metaverse),다보링크,340360
289,메타버스(Metaverse),비비안,2070
290,메타버스(Metaverse),펄어비스,263750
291,메타버스(Metaverse),iMBC,52220
293,메타버스(Metaverse),씨이랩,189330
294,메타버스(Metaverse),코세스,89890
295,메타버스(Metaverse),디어유,376300
304,메타버스(Metaverse),비트나인,357880
306,메타버스(Metaverse),크레버스,96240
309,메타버스(Metaverse),엘엠에스,73110
312,메타버스(Metaverse),NAVER,35420
313,메타버스(Metaverse),한글과컴퓨터,30520
314,메타버스(Metaverse),넵튠,217270
316,엔터테인먼트,티엔엔터테인먼트,131100
318,엔터테인먼트,알비더블유,361570
320,엔터테인먼트,TJ미디어,32540
332,엔터테인먼트,판타지오,32800
334,엔터테인먼트,큐브엔터,182360
335,엔터테인먼트,아이오케이,78860
338,엔터테인먼트,하이브,352820
339,엔터테인먼트,에스엠,41510
340,엔터테인먼트,와이지엔터테인먼트,122870
341,엔터테인먼트,갤럭시아에스엠,11420
342,엔터테인먼트,아센디오,12170
344,의료AI,코어라인소프트,384470
345,의료AI,루닛,328130
346,의료AI,제이엘케이,322510
347,의료AI,딥노이드,315640
348,의료AI,라이프시맨틱스,347700
350,의료AI,인성정보,33230
351,의료AI,뷰노,338220
352,의료AI,토마토시스템,393210
353,의료AI,신테카바이오,226330
354,의료AI,노을,376930
356,의료AI,엔젠바이오,354200
357,의료AI,젠큐릭스,229000
358,의료AI,비스토스,419540
359,의료AI,셀바스헬스케어,208370
361,의료AI,이지케어텍,99750
362,의료AI,셀루메드,49180
363,의료AI,파로스아이바이오,388870
364,의료AI,드림씨아이에스,223250
365,의료AI,랩지노믹스,84650
366,의료AI,디엔에이링크,127120
368,우주항공산업(누리호/인공위성 등),컨텍,451760
370,우주항공산업(누리호/인공위성 등),AP위성,211270
373,우주항공산업(누리호/인공위성 등),비츠로테크,42370
375,우주항공산업(누리호/인공위성 등),쎄트렉아이,99320
377,우주항공산업(누리호/인공위성 등),에스에프에이,56190
378,우주항공산업(누리호/인공위성 등),인텔리안테크,189300
380,우주항공산업(누리호/인공위성 등),한양이엔지,45100
381,우주항공산업(누리호/인공위성 등),서남,294630
382,우주항공산업(누리호/인공위성 등),이수페타시스,7660
383,우주항공산업(누리호/인공위성 등),제노코,361390
384,우주항공산업(누리호/인공위성 등),한양디지텍,78350
385,우주항공산업(누리호/인공위성 등),덕산하이메탈,77360
386,우주항공산업(누리호/인공위성 등),현대로템,64350
387,우주항공산업(누리호/인공위성 등),한화,880
389,우주항공산업(누리호/인공위성 등),태웅,44490
391,스마트카(SMART CAR),오비고,352910
393,스마트카(SMART CAR),MDS테크,86960
395,스마트카(SMART CAR),커머스마이너,223310
396,스마트카(SMART CAR),아이에이,38880
398,스마트카(SMART CAR),모트렉스,118990
399,스마트카(SMART CAR),모바일어플라이언스,87260
