,Name,Open,High,Low,Close,Volume,Change
2023-11-21,포스코퓨처엠,303000,306500,295500,303500,584121,0.009983361064891838
2023-11-22,포스코퓨처엠,300000,313500,300000,303500,561263,0.0
2023-11-23,포스코퓨처엠,303500,307000,298500,306000,326827,0.008237232289950658
2023-11-24,포스코퓨처엠,310500,322000,303500,303500,753792,-0.008169934640522847
2023-11-27,포스코퓨처엠,308000,308000,299500,300000,410302,-0.011532125205930832
2023-11-28,포스코퓨처엠,300000,310000,300000,304500,405263,0.014999999999999902
2023-11-29,포스코퓨처엠,312500,328500,305000,327500,1061690,0.0755336617405582
2023-11-30,포스코퓨처엠,320500,328000,317500,324500,889073,-0.009160305343511421
2023-11-01,셀트리온,149700,150000,149100,149400,468825,-0.0006688963210702559
2023-11-02,셀트리온,149800,150000,149000,149800,542480,0.0026773761713521083
2023-11-03,셀트리온,149700,150100,149100,149900,454326,0.0006675567423231055
2023-11-06,셀트리온,152200,157900,151500,157900,1197662,0.053368912608405594
2023-11-07,셀트리온,160300,161500,154000,155600,1245249,-0.014566181127295796
2023-11-08,셀트리온,156700,158700,155800,157500,592520,0.012210796915167021
2023-11-09,셀트리온,157800,159500,156000,158000,701722,0.0031746031746031633
2023-11-10,셀트리온,157000,159100,156600,157200,546992,-0.005063291139240533
2023-11-13,셀트리온,157700,158400,155800,156800,620970,-0.0025445292620864812
2023-11-14,셀트리온,157900,159500,157300,159100,350954,0.014668367346938771
2023-11-15,셀트리온,161200,165000,160300,165000,637929,0.037083595223130095
2023-11-16,셀트리온,166000,168200,165100,168200,516886,0.019393939393939297
2023-11-17,셀트리온,168800,169300,167100,168400,402600,0.0011890606420927874
2023-11-20,셀트리온,167900,170500,167500,169900,368107,0.008907363420427528
2023-11-21,셀트리온,169900,172200,169500,172200,354688,0.01353737492642737
2023-11-22,셀트리온,171900,172800,170000,172300,374864,0.0005807200929153211
2023-11-23,셀트리온,171500,173000,171100,172900,311317,0.0034822983168891763
2023-11-24,셀트리온,173100,173200,167000,168000,514846,-0.028340080971659964
2023-11-27,셀트리온,166700,167800,161600,162800,457392,-0.030952380952380953
2023-11-28,셀트리온,162800,165500,162800,165000,301166,0.013513513513513598
2023-11-29,셀트리온,164000,164900,161600,161700,296616,-0.020000000000000018
2023-11-30,셀트리온,161000,163000,160600,162900,370771,0.007421150278293043
2023-11-01,카카오,38000,38300,37450,37600,1272093,-0.005291005291005346
2023-11-02,카카오,38000,38600,37900,38550,1529650,0.025265957446808596
2023-11-03,카카오,39250,41550,38900,41300,3675484,0.07133592736705574
2023-11-06,카카오,43000,44700,42300,44700,4871031,0.08232445520581111
2023-11-07,카카오,44700,44750,42850,43750,2026104,-0.021252796420581643
2023-11-08,카카오,44350,45000,43850,43950,1515109,0.004571428571428671
2023-11-09,카카오,43450,46500,43450,45600,3198261,0.03754266211604085
2023-11-10,카카오,45800,46100,45000,45650,1978790,0.0010964912280702066
2023-11-13,카카오,45800,46450,44900,45000,1288632,-0.014238773274917849
2023-11-14,카카오,46150,46950,45500,46350,1718239,0.030000000000000027
2023-11-15,카카오,47200,48450,46800,48300,2792797,0.04207119741100329
2023-11-16,카카오,47400,48250,46850,48200,1565115,-0.0020703933747412417
2023-11-17,카카오,48150,48150,47200,47500,1144308,-0.014522821576763434
2023-11-20,카카오,47250,48150,47000,47800,929546,0.006315789473684275
2023-11-21,카카오,48300,49600,48300,49250,2483017,0.030334728033472702
2023-11-22,카카오,48750,51000,48250,50300,2467921,0.02131979695431463
2023-11-23,카카오,50400,50600,49600,50300,1394573,0.0
2023-11-24,카카오,50400,50900,50000,50500,1011208,0.003976143141153132
2023-11-27,카카오,50800,51000,49300,49850,1480318,-0.012871287128712883
2023-11-28,카카오,50000,51200,49800,51100,1423510,0.02507522567703102
2023-11-29,카카오,50800,51300,50100,50500,1284120,-0.011741682974559686
2023-11-30,카카오,50200,50900,50000,50500,1613598,0.0
2023-11-01,삼성물산,107400,107900,105100,106300,227227,-0.0037488284910964786
2023-11-02,삼성물산,107500,108300,105700,107100,203475,0.007525870178739513
2023-11-03,삼성물산,107900,107900,106500,107300,128529,0.0018674136321195078
2023-11-06,삼성물산,107500,109900,106900,109900,300052,0.024231127679403608
2023-11-07,삼성물산,108900,110100,108500,110100,250727,0.0018198362147405778
2023-11-08,삼성물산,110800,111700,110100,111700,290970,0.014532243415077195
2023-11-09,삼성물산,111600,116500,111600,116200,598122,0.040286481647269445
2023-11-10,삼성물산,115100,116000,113800,114900,205391,-0.011187607573149738
2023-11-13,삼성물산,116000,116900,114800,116700,186949,0.015665796344647598
2023-11-14,삼성물산,117200,117200,115800,115800,226137,-0.007712082262210762
2023-11-15,삼성물산,117400,118300,116700,118300,315982,0.021588946459412783
2023-11-16,삼성물산,118300,118300,116700,117800,123581,-0.004226542688081203
2023-11-17,삼성물산,118000,118200,116700,117900,115136,0.000848896434634927
2023-11-20,삼성물산,118100,118200,116200,116900,127562,-0.008481764206955011
2023-11-21,삼성물산,117800,118700,117000,118700,173859,0.015397775876817787
2023-11-22,삼성물산,117800,118600,117400,118200,94566,-0.004212299915754003
2023-11-23,삼성물산,117700,118700,117500,118400,103239,0.0016920473773265332
2023-11-24,삼성물산,117900,118300,115600,116100,181830,-0.019425675675675658
2023-11-27,삼성물산,115700,117000,115700,117000,100024,0.007751937984496138
2023-11-28,삼성물산,118000,119000,117100,119000,204863,0.017094017094017033
2023-11-29,삼성물산,118300,119100,117800,117800,155727,-0.010084033613445342
2023-11-30,삼성물산,117800,119300,117100,119300,526992,0.012733446519524572
2023-11-01,KB금융,50900,51800,50700,51300,830942,-0.003883495145631022
2023-11-02,KB금융,51700,52300,50800,51000,834704,-0.005847953216374324
2023-11-03,KB금융,51700,52800,51400,52600,730337,0.031372549019607954
2023-11-06,KB금융,53000,55700,52300,55700,1130725,0.05893536121673004
2023-11-07,KB금융,54700,54700,52100,52300,1335460,-0.06104129263913827
2023-11-08,KB금융,51500,52500,51500,52100,829548,-0.003824091778202643
2023-11-09,KB금융,52100,53900,52100,53400,1423056,0.0249520153550864
2023-11-10,KB금융,52900,53700,52800,53500,611038,0.001872659176029856
2023-11-13,KB금융,54200,54200,52700,52900,593164,-0.01121495327102806
2023-11-14,KB금융,53400,53900,53000,53500,766748,0.011342155009451904
2023-11-15,KB금융,54400,55000,53500,54600,1157012,0.020560747663551426
2023-11-16,KB금융,54400,54800,53600,54300,580108,-0.005494505494505475
2023-11-17,KB금융,54200,54800,54000,54600,470739,0.005524861878453136
2023-11-20,KB금융,53500,54500,52700,53900,703966,-0.012820512820512775
2023-11-21,KB금융,53700,54500,53600,54100,921302,0.0037105751391466324
2023-11-22,KB금융,53600,54700,53300,54500,573536,0.007393715341959428
2023-11-23,KB금융,54900,56000,54200,54300,907567,-0.003669724770642202
2023-11-24,KB금융,54600,54600,53700,53700,469824,-0.011049723756906049
2023-11-27,KB금융,53200,53600,52300,52400,1286094,-0.02420856610800748
2023-11-28,KB금융,51600,52700,51100,52400,1415178,0.0
2023-11-29,KB금융,51800,52200,51500,51700,1022798,-0.013358778625954248
2023-11-30,KB금융,51700,52600,51500,52400,1465252,0.013539651837524147
2023-11-01,현대모비스,210000,214500,209500,212500,164290,0.01918465227817756
2023-11-02,현대모비스,217000,223000,216500,218500,211056,0.028235294117647136
2023-11-03,현대모비스,222000,222500,215500,218000,120898,-0.0022883295194507935
2023-11-06,현대모비스,220000,228000,218500,228000,190927,0.04587155963302747
2023-11-07,현대모비스,225500,226000,220500,224000,172965,-0.01754385964912286
2023-11-08,현대모비스,227000,227500,221500,222500,105091,-0.006696428571428603
2023-11-09,현대모비스,225500,227000,222500,224000,134909,0.006741573033707926
2023-11-10,현대모비스,222000,224000,220500,223000,51705,-0.004464285714285698
2023-11-13,현대모비스,224000,224500,220500,221500,59259,-0.006726457399103158
2023-11-14,현대모비스,224000,224500,222500,222500,90909,0.004514672686230181
2023-11-15,현대모비스,227500,229500,226000,228000,171564,0.024719101123595433
2023-11-16,현대모비스,228000,232000,227000,230500,113899,0.010964912280701844
2023-11-17,현대모비스,231000,231000,226000,229500,76943,-0.004338394793926281
